iid1	iid2	max_IBD	sum_IBD>8.0	n_IBD>8.0	sum_IBD>12.0	n_IBD>12.0	sum_IBD>16.0	n_IBD>16.0	sum_IBD>20.0	n_IBD>20.0	sum_IBD2
GRG041	GRG081	189.13160491501912	2361.740616264433	41.0	2331.6221180582943	38.0	2306.825417580694	36.0	2218.848416509718	31.0	842.4912158669028
GRG007	GRG004	148.16089868545532	2050.1767651607224	42.0	2019.456054406328	39.0	1963.4138708897808	35.0	1926.4861748168187	33.0	735.610883682966
GRG081	GRG004	34.13339853286743	142.10391715168947	10.0	102.91641727089879	6.0	34.13339853286743	1.0	34.13339853286743	1.0	0.0
GRG081	GRG007	35.72499927249737	133.4337028500158	9.0	87.08290632930583	4.0	74.59370669093914	3.0	55.91070827213116	2.0	0.0
GRG041	GRG004	26.72559916973114	128.16130816936487	8.0	94.6683019399643	5.0	51.338398456573486	2.0	51.338398456573486	2.0	0.0
GRG041	GRG007	34.58489896147512	119.22379703610201	8.0	69.64829684584402	3.0	54.16329623549245	2.0	34.58489896147512	1.0	0.0
