iid1	iid2	Sum_IBD>8	Source_site	Target_site	Source_sex	Target_sex	Source_Mt	Target_Mt	Source_Y	Target_Y	Source_Full_date	Target_Full_date	Source_Sceletal_code	Target_Sceletal_code	Source_Family	Target_Family	Source_Study	Target_Study	Source_Num of IBD neigbours	Target_Num of IBD neigbours	Num of matching neighbours	Notes
IMA005	IMA002	3321.27609210292	Il'movaya Pad' burial ground	Il'movaya Pad' burial ground	M	F	D4j5a	D4j5a	N-F4205	n/a (female)	169-44 calBCE (2089В±22 BP, MAMS-43519)	200 BCE - 100 CE	2007 Mogila 78	2005 Mogila 75	Buryatia, Il'movaya Pad Family A (mother-son)	Buryatia, Il'movaya Pad Family A (mother-son)	JeongCell2020	JeongCell2020	74	101	37	ok
IMA006	I16630	3340.4409929235	Il'movaya Pad' burial ground	Il'movaya Pad' burial ground	M	M	A24	A24	Q-M120	Q-F746	51 calBCE - 70 calCE (2012В±23 BP, MAMS-43520)	50 BCE - 150 CE	2007 Mogila 77	KZN10, grave 77	n/a (no relatives detected)	n/a (no relatives detected)	JeongCell2020	Unpublished	69	71	59	the same individual - grave 77
IMA007	I16631	3339.6914932382	Il'movaya Pad' burial ground	Il'movaya Pad' burial ground	F	F	A+152+16362	A+152+16362	n/a (female)	n/a (female)	200 BCE - 100 CE	46 calBCE - 73 calCE (2000В±20 BP, PSUAMS-10309)	2007 Mogila 79	KZN11, grave 79	n/a (no relatives detected)	n/a (no relatives detected)	JeongCell2020	Unpublished (Pavel, TC, Vagheesh, and Olga Flegontova, Inner Asian graph mapping)	64	59	53	the same individual - grave 79
TAL004	DA13_noUDG.SG	3340.01869286657	Taldy 2	Taldy 2	M	M	A	A+152+16362+16189	R-YP1455	R-YP1548	802-543 calBCE (2540В±40 BP)	767-422 calBCE (2471В±31 BP, UBA-31138)	TAL004.A	CGG_2_015470, KG38, Taldy 2, Kurgan 5, Karkarali	Central Kazakhstan, Nurken Village, Taldy II, mound 4 Family A (2 members) (son-father: TAL004-TAL003)	Kazakhstan Family C (2 members) (MJ-51 and DA13 are father and son)	KrauseGnecchiRusconeSciAdv2021	DamgaardNature2018	70	71	68	the same individual - 2/5
TAL004	TAL003	3336.2036952174	Taldy 2	Taldy 2	M	M	A	U5a1f1	R-YP1455	R-YP1455	802-543 calBCE (2540В±40 BP)	700-500 BCE	TAL004.A	TAL003.A	Central Kazakhstan, Nurken Village, Taldy II, mound 4 Family A (son-father)	Central Kazakhstan, Nurken Village, Taldy II, mound 4 Family A (son-father)	KrauseGnecchiRusconeSciAdv2021	KrauseGnecchiRusconeSciAdv2021	70	105	54	ok
I19706	I31856	3339.29869350249	Pla Almata	Sant Crist necropolis	F	F	T2i	T2i	n/a (female)	n/a (female)	772-957 calCE (1160В±15 BP, PSUAMS-10218)	800-1200 CE	Pla Almata, 2007, E6. UE73	St Crist hostatgeria'07, ent 6, UE 73	n/a (no relatives detected)	n/a (no relatives detected)	Unpublished (Inigo Iberia Islamic)	Unpublished	12	5	4	the same individual - 2007, E6. UE73
I14618	I14621	3318.58020117942	Bakheri Chala	Bakheri Chala	M	F	H8a1	H8a1	R-Y19434	n/a (female)	1122-931 calBCE (2865В±25 BP, UCIAMS-226540, PSUG-5446)	1050-800 BCE	1229; 22	1232; 25	Armenia, Bakheri Chala monument Family B (mother-son)	Armenia, Bakheri Chala monument Family B (mother-son)	Unpublished (Iosif Southern Arc)	Unpublished (Iosif Southern Arc)	3	4	0	ok
I10658	I20726	3391.20349156055	Casalecchio di Reno	Casalecchio di Reno	M	F	H1c3a	H1c3a	G-Z1823	n/a (female)	400-200 BCE	200-400 CE	Cer T.76B	T.79	Emilia Romagna, Ceretolo, Casalecchio di Reno Family B (mother-son)	Emilia Romagna, Ceretolo, Casalecchio di Reno Family B (mother-son)	Unpublished (Alissa broad Italian transect)	Unpublished	12	14	6	ok
I22693	I29852	3339.72339261363	Ludas-Varjú dűlő	Ludas-Varjú dűlő	F	F	H1j2a	H1j2a	n/a (female)	n/a (female)	1002-841 calBCE (2780В±20 BP, PSUAMS-10137)	900-450 BCE	P7138 (2630)	P10331 (obj. 2630)	n/a (no relatives detected)	Ludas-VarjпїЅ d_l_ Family B (2 members) (mother-son: I29852-I29858)	Unpublished (Pere Gelabert LBK)	Unpublished	5	17	3	the same individual - obj. 2630
I22693	I29858	3331.27739550163	Ludas-Varjú dűlő	Ludas-Varjú dűlő	F	M	H1j2a	H1j2a	n/a (female)	R-Z2110	1002-841 calBCE (2780В±20 BP, PSUAMS-10137)	900-450 BCE	P7138 (2630)	P10337 (Grave no. 10)	n/a (no relatives detected)	Ludas-VarjпїЅ d_l_ Family B (2 members) (mother-son: I29852-I29858)	Unpublished (Pere Gelabert LBK)	Unpublished	5	13	3	I22693=I29852, then ok
I28157	I11545	3339.59700390751	Ilekshar 2	Ilekshar 2	F	F	X2b4a	X2b4a	n/a (female)	n/a (female)	600-400 BCE	376-201 calBCE (2220В±20 BP, PSUAMS-9392)	Ilekshar II, kurgan 1, burial 3	Ilekshar II, Kurgan 1, Burial 3	n/a (no relatives detected)	n/a (no relatives detected)	Unpublished	Unpublished (Arie Western Steppe 1000 BCE - 1000 CE)	48	43	42	the same individual - Ilekshar II, Kurgan 1, Burial 3
A1801	-	-	Budapest-Csepel-Kavicsbánya	-	M	-											RusconeKrauseCell2022		520			???
A1811	-	-	Kunszállás-Fülöpjakab	-	F	-											RusconeKrauseCell2022		383			???
A1804	-	-	Szarvas -Kovács-halom site 8/1	-	M	-											RusconeKrauseCell2022		257			???
A1807	-	-	Szarvas -Kovács-halom site 8/1	-	M	-											RusconeKrauseCell2022		154			???
